Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp,UPS_Name
2025-05-27,22:48:36,226.5,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025-05-27,21:48:28,226.5,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025-05-27,20:48:19,228.0,219.5,272.5,60.0,60.0,28,26.0,UPS_10F
2025-05-27,19:48:11,228.5,220.0,272.5,60.0,60.0,28,26.0,UPS_10F
2025-05-27,18:48:02,226.0,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025-05-27,17:47:54,229.5,220.0,272.5,60.0,60.0,29,26.0,UPS_10F
2025-05-27,16:47:45,228.0,220.0,272.5,60.0,60.0,29,25.0,UPS_10F
2025-05-27,15:47:37,228.0,220.0,272.5,59.9,59.9,28,25.0,UPS_10F
2025-05-27,14:47:29,227.5,220.0,272.2,59.9,59.9,27,25.0,UPS_10F
2025-05-27,13:47:20,226.5,220.0,272.5,59.9,59.9,30,25.0,UPS_10F
2025-05-27,12:47:11,227.0,220.0,272.5,60.0,60.0,29,24.0,UPS_10F
2025-05-27,11:47:03,225.5,220.0,272.2,60.0,60.0,29,24.0,UPS_10F
2025-05-27,10:46:54,223.5,220.0,272.2,59.9,59.9,28,21.0,UPS_10F
2025-05-27,09:46:46,222.0,220.0,272.2,59.9,59.9,27,21.0,UPS_10F
2025-05-27,08:46:36,224.0,220.0,272.2,60.0,60.0,28,21.0,UPS_10F
2025-05-27,07:46:28,224.0,220.0,272.2,59.9,59.9,28,21.0,UPS_10F
2025-05-27,06:46:20,226.5,220.5,272.2,60.0,60.0,29,21.0,UPS_10F
2025-05-27,05:46:12,228.0,220.5,272.2,59.9,59.9,29,21.0,UPS_10F
2025-05-27,04:46:03,228.0,220.0,272.2,59.9,59.9,27,21.0,UPS_10F
2025-05-27,03:45:55,228.0,220.0,272.2,59.9,59.9,29,21.0,UPS_10F
2025-05-27,02:45:47,228.5,220.0,272.2,59.9,59.9,28,21.0,UPS_10F
2025-05-27,01:45:38,228.0,220.5,272.2,60.0,60.0,29,21.0,UPS_10F
2025-05-27,00:45:30,227.5,220.0,272.2,60.0,60.0,28,21.0,UPS_10F
2025-05-28,23:52:02,227.5,220.0,272.2,59.9,59.9,27,22.0,UPS_10F
2025-05-28,22:51:54,227.0,220.0,272.2,60.0,60.0,28,21.0,UPS_10F
2025-05-28,21:51:45,229.0,220.0,272.2,60.0,60.0,28,22.0,UPS_10F
2025-05-28,20:51:37,232.5,220.0,272.2,59.9,59.9,27,22.0,UPS_10F
2025-05-28,19:51:29,230.0,220.5,272.2,59.9,59.9,27,22.0,UPS_10F
2025-05-28,18:51:20,228.0,220.0,272.2,60.0,60.0,27,22.0,UPS_10F
2025-05-28,17:51:12,227.5,220.0,272.2,60.0,60.0,29,23.0,UPS_10F
2025-05-28,16:51:04,226.5,220.0,272.2,60.0,60.0,29,23.0,UPS_10F
2025-05-28,15:50:55,227.0,220.0,272.2,60.0,60.0,29,23.0,UPS_10F
2025-05-28,14:50:47,227.0,220.5,272.2,60.0,60.0,29,23.0,UPS_10F
2025-05-28,13:50:38,226.5,220.0,272.2,60.0,60.0,28,23.0,UPS_10F
2025-05-28,12:50:30,228.5,220.0,272.2,60.0,60.0,28,23.0,UPS_10F
2025-05-28,11:50:22,226.0,220.0,272.5,59.9,59.9,27,24.0,UPS_10F
2025-05-28,10:50:14,224.5,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025-05-28,09:50:06,226.5,220.0,272.5,59.9,59.9,29,27.0,UPS_10F
2025-05-28,08:49:58,226.0,220.5,272.5,59.9,59.9,28,27.0,UPS_10F
2025-05-28,07:49:50,226.0,220.0,272.5,60.0,60.0,27,26.0,UPS_10F
2025-05-28,06:49:42,228.0,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025-05-28,05:49:34,230.0,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025-05-28,04:49:25,230.5,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025-05-28,03:49:17,231.0,220.0,272.5,60.0,60.0,29,27.0,UPS_10F
2025-05-28,02:49:09,230.0,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025-05-28,01:49:01,229.0,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025-05-28,00:48:52,228.5,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025-05-29,23:55:22,226.5,220.0,272.5,59.9,59.9,29,26.0,UPS_10F
2025-05-29,22:55:14,227.5,220.0,272.5,60.0,60.0,28,26.0,UPS_10F
2025-05-29,21:55:06,227.0,220.5,272.5,59.9,59.9,29,26.0,UPS_10F
2025-05-29,20:54:58,228.0,220.5,272.5,60.0,60.0,29,26.0,UPS_10F
2025-05-29,19:54:50,226.5,220.5,272.5,59.9,59.9,29,26.0,UPS_10F
2025-05-29,18:54:41,226.5,220.0,272.5,60.0,60.0,29,26.0,UPS_10F
2025-05-29,17:54:33,226.5,220.0,272.5,59.9,59.9,27,26.0,UPS_10F
2025-05-29,16:54:25,229.0,220.0,272.5,60.0,60.0,27,27.0,UPS_10F
2025-05-29,15:54:17,228.0,220.0,272.5,60.0,60.0,28,26.0,UPS_10F
2025-05-29,14:54:09,227.5,220.0,272.5,60.0,60.0,28,26.0,UPS_10F
2025-05-29,13:54:00,226.0,220.0,272.5,60.0,60.0,29,27.0,UPS_10F
2025-05-29,12:53:52,228.0,220.0,272.5,60.0,60.0,29,26.0,UPS_10F
2025-05-29,11:53:42,225.0,220.0,272.5,60.0,60.0,29,26.0,UPS_10F
2025-05-29,10:53:34,225.0,220.0,272.2,59.9,59.9,28,22.0,UPS_10F
2025-05-29,09:53:26,225.0,220.0,272.2,59.9,59.9,29,22.0,UPS_10F
2025-05-29,08:53:18,226.5,220.5,272.2,60.0,60.0,27,21.0,UPS_10F
2025-05-29,07:53:09,228.0,220.0,272.2,60.0,60.0,29,21.0,UPS_10F
2025-05-29,06:53:01,228.0,220.0,272.2,59.9,59.9,29,21.0,UPS_10F
2025-05-29,05:52:53,230.0,220.5,272.2,59.9,59.9,27,21.0,UPS_10F
2025-05-29,04:52:45,230.5,220.0,272.2,59.9,59.9,27,22.0,UPS_10F
2025-05-29,03:52:37,230.5,220.5,272.2,60.0,60.0,27,21.0,UPS_10F
2025-05-29,02:52:28,230.0,220.0,272.2,60.0,60.0,27,21.0,UPS_10F
